ADNI_label,start_x,start_y,start_z,end_x,end_y,end_z,centroid_x,centroid_y,centroid_z
ATR_L,36,-51,-41,-35,-51,-41,0.5,-39.88532345,-35.35579136
ATR_R,11,-30,-27,-10,-31,-33,0.5,-29.228,-30.81933333
CST_L,20,21,24,-19,24,20,0.259518698,26.11049599,7.265958649
CST_R,17,-30,36,-6,19,12,0.638611334,-5.250820509,27.29924878
CGC_L,30,-57,9,-26,-62,9,0.687013905,-42.15829995,17.82905177
CGC_R,3,-21,18,0,3,1,0.51138088,-6.128983308,12.86494689
CGH_L,2,-37,-55,9,-16,-22,7.09030837,-24.90455213,-32.64243759
CGH_R,-1,-37,-55,-9,-17,-22,-6.04379562,-24.98905109,-32.80510949
FX_MAJOR,4,-37,-45,9,-32,-25,5.589855072,-36.7173913,-33.46231884
FX_MINOR,-3,-37,-45,-8,-32,-25,-4.530758226,-36.71530758,-33.44062947
IFO_L,7,-41,-55,8,-55,-21,9.414256198,-44.375,-37.36157025
IFO_R,-6,-41,-55,-7,-55,-21,-8.414256198,-44.375,-37.36157025
ILF_L,10,-53,-34,5,-28,-17,6.514112903,-41.62399194,-24.6078629
ILF_R,-9,-53,-34,-4,-28,-17,-5.514112903,-41.62399194,-24.6078629
SLF_L,11,-31,-21,15,-7,-5,13.28270413,-18.36698859,-12.4881475
SLF_R,-10,-31,-21,-14,-7,-5,-12.28270413,-18.36698859,-12.4881475
UNC_L,22,-7,18,22,23,1,18.07138305,7.588272785,8.063416189
UNC_R,-18,-8,17,-21,23,1,-17.21603711,7.425115971,8.259111995
SLF_T_L,9,-3,-2,28,-27,18,20.46323921,-13.1707512,7.851891316
SLF_T_R,-8,-3,-2,-27,-27,18,-19.46668443,-13.17723881,7.853944563
ALIC_L,38,-23,-3,27,-36,18,31.52166998,-29.26003976,6.018290258
ALIC_R,-39,-27,-3,-23,-31,18,-30.20170109,-29.44714459,5.816119887
PLIC_L,12,30,-13,18,17,35,21.54635713,28.06453497,9.742006132
PLIC_R,-11,30,-13,-17,17,35,-20.54640981,28.06450671,9.737594863
RLIC_L,22,-32,40,19,17,35,23.91973333,-7.825866667,30.0276
RLIC_R,-21,-31,41,-18,17,35,-22.935935,-7.831646244,30.00892381
ACR_L,31,-64,19,21,-24,30,25.44769313,-38.14216738,27.82188841
ACR_R,-30,-64,19,-19,-25,33,-24.36133549,-38.01211632,27.94695746
SCR_L,29,-73,3,40,-38,3,33.87663646,-54.69612286,7.213746224
SCR_R,-28,-73,3,-39,-38,3,-32.62393162,-54.7486174,7.148064354
PCR_L,33,-58,-4,39,-9,-19,39.80969479,-31.5040395,-9.397217235
PCR_R,-32,-58,-4,-38,-9,-19,-38.79874496,-31.4984312,-9.385477364
PTR_L,29,-23,17,23,22,-3,30.87780822,-1.373150685,6.334246575
PTR_R,-28,-23,17,-22,22,-3,-29.87972603,-1.37890411,6.329863014
SS_L,11,-50,20,8,35,9,8.168659266,-11.1263877,29.93509821
SS_R,-11,-53,17,-7,36,11,-7.268629589,-10.16648491,29.97055616
EC_L,23,-13,-27,10,-48,9,22.04854369,-29.24676375,-13.94660194
EC_R,-23,-16,-27,-9,-50,9,-19.64588745,-32.02943723,-12.70822511
FX_L,20,-34,9,34,-6,-19,29.07829181,-23.96797153,-6.21886121
FX_R,-20,-34,9,-33,-6,-19,-28.104,-23.98044444,-6.235555556
FX_ST_L,36,-60,16,32,11,23,36.43438777,-25.59663993,25.92810655
FX_ST_R,-35,-60,16,-31,11,23,-35.43573051,-25.59757759,25.92657078
SFO_L,18,-11,19,21,17,19,21.22485207,2.021696252,21.12228797
SFO_R,-17,-11,19,-20,17,19,-20.22485207,2.021696252,21.12228797
TAP_L,35,-20,-4,16,21,-10,30.08414074,3.267720551,-7.960734319
TAP_R,-34,-20,-4,-15,21,-10,-29.0273619,3.362416107,-7.903975219
SCC,37,1,-21,30,5,-12,34,1.155263158,-15.79210526
GCC,-37,1,-21,-29,-2,-12,-33.5,-1.114361702,-15.92287234
GCCB,-37,1,-21,-29,-2,-12,-33.5,-1.114361702,-15.92287234
SCCB,37,1,-21,30,5,-12,34,1.155263158,-15.79210526
BCC,0,1,-21,0,1.5,-12,0,0.020450728,-15.8574888
FULLCC,0,1,-21,0,1.5,-12,0,0.020450728,-15.8574888
SUMFX,0,-34,9,0.5,-6,-19,0.487145907,-23.97420799,-6.227208383